scenario_id,sub_id,scenario_key,recording_datetime,bag_name,relative_path,size_bytes,size_gib,duration_seconds,start_time,end_time,total_messages,front_frames,back_frames,robot_state_messages,front_fps,back_fps,topic_count,topics,storage_id,ros_distro,error
1,0,1_0,2026-07-27T10:25:24,Jul27_Scenario_1_0_2026-07-27_10-25-24_0.mcap,Jul27_Scenario_1_0_2026-07-27_10-25-24/Jul27_Scenario_1_0_2026-07-27_10-25-24_0.mcap,2603169896,2.424,152.006,2026-07-27T12:25:24.821064+02:00,2026-07-27T12:27:56.826727+02:00,9088,3801,3766,1521,25.006,24.775,3,/camera/back_view/image_raw (3766); /camera/front_view/image_raw (3801); /sr/state (1521),mcap,kilted,
2,0,2_0,2026-07-27T10:28:25,Jul27_Scenario_2_0_2026-07-27_10-28-25_0.mcap,Jul27_Scenario_2_0_2026-07-27_10-28-25/Jul27_Scenario_2_0_2026-07-27_10-28-25_0.mcap,2916603829,2.716,171.167,2026-07-27T12:28:26.101434+02:00,2026-07-27T12:31:17.267989+02:00,10234,4280,4242,1712,25.005,24.783,3,/camera/back_view/image_raw (4242); /camera/front_view/image_raw (4280); /sr/state (1712),mcap,kilted,
3,0,3_0,2026-07-27T10:52:19,Jul27_Scenario_3_0_2026-07-27_10-52-19_0.mcap,Jul27_Scenario_3_0_2026-07-27_10-52-19/Jul27_Scenario_3_0_2026-07-27_10-52-19_0.mcap,3767911652,3.509,227.640,2026-07-27T12:52:19.346509+02:00,2026-07-27T12:56:06.986509+02:00,13626,5692,5658,2276,25.004,24.855,3,/camera/back_view/image_raw (5658); /camera/front_view/image_raw (5692); /sr/state (2276),mcap,kilted,
3,1,3_1,2026-07-27T10:58:52,Jul27_Scenario_3_1_2026-07-27_10-58-52_0.mcap,Jul27_Scenario_3_1_2026-07-27_10-58-52/Jul27_Scenario_3_1_2026-07-27_10-58-52_0.mcap,3542451472,3.299,214.326,2026-07-27T12:58:53.087095+02:00,2026-07-27T13:02:27.413032+02:00,12826,5359,5324,2143,25.004,24.841,3,/camera/back_view/image_raw (5324); /camera/front_view/image_raw (5359); /sr/state (2143),mcap,kilted,
3,2,3_2,2026-07-27T11:05:54,Jul27_Scenario_3_2_2026-07-27_11-05-54_0.mcap,Jul27_Scenario_3_2_2026-07-27_11-05-54/Jul27_Scenario_3_2_2026-07-27_11-05-54_0.mcap,3499337995,3.259,213.961,2026-07-27T13:05:54.892188+02:00,2026-07-27T13:09:28.852728+02:00,12805,5350,5316,2139,25.005,24.846,3,/camera/back_view/image_raw (5316); /camera/front_view/image_raw (5350); /sr/state (2139),mcap,kilted,
4,0,4_0,2026-07-27T11:24:03,Jul27_Scenario_4_0_2026-07-27_11-24-03_0.mcap,Jul27_Scenario_4_0_2026-07-27_11-24-03/Jul27_Scenario_4_0_2026-07-27_11-24-03_0.mcap,3336375690,3.107,202.761,2026-07-27T13:24:03.453946+02:00,2026-07-27T13:27:26.214706+02:00,12139,5070,5041,2028,25.005,24.862,3,/camera/back_view/image_raw (5041); /camera/front_view/image_raw (5070); /sr/state (2028),mcap,kilted,
4,1,4_1,2026-07-27T11:34:44,Jul27_Scenario_4_1_2026-07-27_11-34-44_0.mcap,Jul27_Scenario_4_1_2026-07-27_11-34-44/Jul27_Scenario_4_1_2026-07-27_11-34-44_0.mcap,3583770216,3.338,212.378,2026-07-27T13:34:44.753772+02:00,2026-07-27T13:38:17.131861+02:00,12709,5309,5276,2124,24.998,24.842,3,/camera/back_view/image_raw (5276); /camera/front_view/image_raw (5309); /sr/state (2124),mcap,kilted,
4,2,4_2,2026-07-27T11:40:57,Jul27_Scenario_4_2_2026-07-27_11-40-57_0.mcap,Jul27_Scenario_4_2_2026-07-27_11-40-57/Jul27_Scenario_4_2_2026-07-27_11-40-57_0.mcap,3916298450,3.647,232.602,2026-07-27T13:40:58.170177+02:00,2026-07-27T13:44:50.772291+02:00,13906,5816,5764,2326,25.004,24.781,3,/camera/back_view/image_raw (5764); /camera/front_view/image_raw (5816); /sr/state (2326),mcap,kilted,
5,0,5_0,2026-07-27T11:11:21,Jul27_Scenario_5_0_2026-07-27_11-11-21_0.mcap,Jul27_Scenario_5_0_2026-07-27_11-11-21/Jul27_Scenario_5_0_2026-07-27_11-11-21_0.mcap,450399899,0.419,26.609,2026-07-27T13:11:21.646867+02:00,2026-07-27T13:11:48.255794+02:00,1596,666,663,267,25.029,24.916,3,/camera/back_view/image_raw (663); /camera/front_view/image_raw (666); /sr/state (267),mcap,kilted,
5,1,5_1,2026-07-27T11:12:20,Jul27_Scenario_5_1_2026-07-27_11-12-20_0.mcap,Jul27_Scenario_5_1_2026-07-27_11-12-20/Jul27_Scenario_5_1_2026-07-27_11-12-20_0.mcap,414959634,0.386,24.564,2026-07-27T13:12:20.727546+02:00,2026-07-27T13:12:45.291251+02:00,1471,615,610,246,25.037,24.833,3,/camera/back_view/image_raw (610); /camera/front_view/image_raw (615); /sr/state (246),mcap,kilted,
